Sequence_name,Location,State,Region,Country,latitude,longitude,Year,Study
BC01_DENV2_SaoPaulo_library6_20190313.4000|Araraquara-SP|2019-02-05,Araraquara,São Paulo,Brazil_Southeast,Brazil,-21.7886713,-48.1773096,2019,CADDE-SP
BC02_DENV2_SaoPaulo_library6_20190313.4011|Araraquara-SP|2019-02-06,Araraquara,São Paulo,Brazil_Southeast,Brazil,-21.7886713,-48.1773096,2019,CADDE-SP
BC03_DENV2_SaoPaulo_library6_20190313.4013|Araraquara-SP|2019-02-06,Araraquara,São Paulo,Brazil_Southeast,Brazil,-21.7886713,-48.1773096,2019,CADDE-SP
BC04_DENV2_SaoPaulo_library6_20190313.4019|Araraquara-SP|2019-02-06,Araraquara,São Paulo,Brazil_Southeast,Brazil,-21.7886713,-48.1773096,2019,CADDE-SP
BC05_DENV2_SaoPaulo_library6_20190313.4020|Araraquara-SP|2019-02-07,Araraquara,São Paulo,Brazil_Southeast,Brazil,-21.7886713,-48.1773096,2019,CADDE-SP
BC06_DENV2_SaoPaulo_library6_20190313.4112|Araraquara-SP|2019-02-08,Araraquara,São Paulo,Brazil_Southeast,Brazil,-21.7886713,-48.1773096,2019,CADDE-SP
BC07_DENV2_SaoPaulo_library6_20190313.4210|Araraquara-SP|2019-02-15,Araraquara,São Paulo,Brazil_Southeast,Brazil,-21.7886713,-48.1773096,2019,CADDE-SP
BC08_DENV2_SaoPaulo_library6_20190313.4213|Araraquara-SP|2019-02-16,Araraquara,São Paulo,Brazil_Southeast,Brazil,-21.7886713,-48.1773096,2019,CADDE-SP
BC09_DENV2_SaoPaulo_library6_20190313.4216|Araraquara-SP|2019-02-16,Araraquara,São Paulo,Brazil_Southeast,Brazil,-21.7886713,-48.1773096,2019,CADDE-SP
BC10_DENV2_SaoPaulo_library6_20190313.4218|Araraquara-SP|2019-02-08,Araraquara,São Paulo,Brazil_Southeast,Brazil,-21.7886713,-48.1773096,2019,CADDE-SP
BC11_DENV2_SaoPaulo_library6_20190313.4105|Araraquara-SP|2019-02-21,Araraquara,São Paulo,Brazil_Southeast,Brazil,-21.7886713,-48.1773096,2019,CADDE-SP
BC02_DENV2_SaoPaulo_library2|SaoJoseRioPreto-SP|2019-01-10,São José do Rio Preto,São Paulo,Brazil_Southeast,Brazil,-20.810869,-49.379131,2019,CADDE-SP
BC03_DENV2_SaoPaulo_library2|SaoJoseRioPreto-SP|2019-01-13,São José do Rio Preto,São Paulo,Brazil_Southeast,Brazil,-20.810869,-49.379131,2019,CADDE-SP
BC06_DENV2_SaoPaulo_library2|SaoJoseRioPreto-SP|2019-01-18,São José do Rio Preto,São Paulo,Brazil_Southeast,Brazil,-20.810869,-49.379131,2019,CADDE-SP
BC07_DENV2_SaoPaulo_library2|SaoJoseRioPreto-SP|2019-04-08,São José do Rio Preto,São Paulo,Brazil_Southeast,Brazil,-20.810869,-49.379131,2019,CADDE-SP
BC08_DENV2_SaoPaulo_library2|SaoJoseRioPreto-SP|2019-04-29,São José do Rio Preto,São Paulo,Brazil_Southeast,Brazil,-20.810869,-49.379131,2019,CADDE-SP
BC09_DENV2_SaoPaulo_library2|SaoJoseRioPreto-SP|2019-04-28,São José do Rio Preto,São Paulo,Brazil_Southeast,Brazil,-20.810869,-49.379131,2019,CADDE-SP
BC10_DENV2_SaoPaulo_library2|SaoJoseRioPreto-SP|2019-04-15,São José do Rio Preto,São Paulo,Brazil_Southeast,Brazil,-20.810869,-49.379131,2019,CADDE-SP
