Sequence_name,Location,State,Region,Country,latitude,longitude,Year,Study
DENV2|FJ850072|DENV-2_BR_BID-V2376_2000|Brazil_Northern|2000,North,North,Brazil_North,Brazil,-2.09,-58.31,2000,Others
DENV2|JN819419|DENV-2_BR_BID-V2377_2000|Brazil_Northern|2000,North,North,Brazil_North,Brazil,-2.087,-58.37166,2000,Others
DENV2|HQ012535|BR48622_CE_94|Brazil|1994,Ceará,Ceará,Brazil_Northeast,Brazil,-5.3264703,-39.7156073,1994,Others
DENV2|JX669480|3275_BR-PE_95|Brazil_Pernambuco|1995,Pernambuco,Pernambuco,Brazil_Northeast,Brazil,-8.813717,-36.954105,1995,Others
DENV2|JX669481|3311_BR-PE_95|Brazil_Pernambuco|1995,Pernambuco,Pernambuco,Brazil_Northeast,Brazil,-8.813717,-36.954105,1995,Others
DENV2|JX669482|3337_BR-PE_95|Brazil_Pernambuco|1995,Pernambuco,Pernambuco,Brazil_Northeast,Brazil,-8.813717,-36.954105,1995,Others
DENV2|JX669483|37473_BR-PE_97|Brazil_Pernambuco|1997,Pernambuco,Pernambuco,Brazil_Northeast,Brazil,-8.813717,-36.954105,1997,Others
DENV2|JX669484|47913_BR-PE_98|Brazil_Pernambuco|1998,Pernambuco,Pernambuco,Brazil_Northeast,Brazil,-8.813717,-36.954105,1998,Others
DENV2|JX669485|51347_BR-PE_98|Brazil_Pernambuco|1998,Pernambuco,Pernambuco,Brazil_Northeast,Brazil,-8.813717,-36.954105,1998,Others
DENV2|JX669486|57135_BR-PE_99|Brazil_Pernambuco|1999,Pernambuco,Pernambuco,Brazil_Northeast,Brazil,-8.813717,-36.954105,1999,Others
DENV2|JX669487|72144_BR-PE_00|Brazil_Pernambuco|2000,Pernambuco,Pernambuco,Brazil_Northeast,Brazil,-8.813717,-36.954105,2000,Others
DENV2|JX669488|87086_BR-PE_02|Brazil_Pernambuco|2002,Pernambuco,Pernambuco,Brazil_Northeast,Brazil,-8.813717,-36.954105,2002,Others
DENV2|HQ012533|BR41768_RJ_90|Brazil|1990,Rio de Janeiro,Rio de Janeiro,Brazil_Southeast,Brazil,-22.906847,-43.172897,1990,Others
DENV2|HQ012538|BR39145_RJ_90|Brazil|1990,Rio de Janeiro,Rio de Janeiro,Brazil_Southeast,Brazil,-22.906847,-43.172897,1990,Others
DENV2|HQ012534|BR42727_RJ_91|Brazil|1991,Rio de Janeiro,Rio de Janeiro,Brazil_Southeast,Brazil,-22.906847,-43.172897,1991,Others
DENV2|HQ012536|BR61310_RJ_98|Brazil|1998,Rio de Janeiro,Rio de Janeiro,Brazil_Southeast,Brazil,-22.906847,-43.172897,1998,Others
DENV2|HQ012537|BR64905_RJ_99|Brazil|1999,Rio de Janeiro,Rio de Janeiro,Brazil_Southeast,Brazil,-22.906847,-43.172897,1999,Others
DENV2|JX073928|BR_DEN2_01-01|Brazil|2001,Brazil,Brazil,Brazil_North,Brazil,-2.095,-58.375,2001,Others
DENV2|FJ850082|DENV-2_BR_BID-V2390_2004|Brazil_Northern|2004,North,North,Brazil_North,Brazil,-2.098,-58.39,2004,Others
DENV2|FJ850085|DENV-2_BR_BID-V2393_2005|Brazil_Northern|2005,North,North,Brazil_North,Brazil,-2.091,-58.41,2005,Others
DENV2|FJ850074|DENV-2_BR_BID-V2379_2001|Brazil_Northern|2001,North,North,Brazil_North,Brazil,-2.084,-58.42,2001,Others
DENV2|FJ850076|DENV-2_BR_BID-V2382_2002|Brazil_Northern|2002,North,North,Brazil_North,Brazil,-2.093,-58.32,2002,Others
DENV2|GQ868640|DENV-2_BR_BID-V2385_2003|Brazil_Northern|2003,North,North,Brazil_North,Brazil,-2.099,-58.35,2003,Others
DENV2|FJ850078|DENV-2_BR_BID-V2386_2003|Brazil_Northern|2003,North,North,Brazil_North,Brazil,-2.082,-58.31,2003,Others
DENV2|FJ850091|DENV-2_BR_BID-V2399_2007|Brazil_Northern|2007,North,North,Brazil_North,Brazil,-2.081,-58.37,2007,Others
DENV2|FJ850088|DENV-2_BR_BID-V2396_2006|Brazil_Northern|2006,North,North,Brazil_North,Brazil,-2.079,-58.45,2006,Others
DENV2|GQ199890|DENV-2_BR_BID-V2402_2008|Brazil_Northern|2008,North,North,Brazil_North,Brazil,-2.092,-58.34,2008,Others
DENV2|JX669478|19190_BR-PE_10|Brazil_Pernambuco|2010,Penambuco,Pernambuco,Brazil_Northeast,Brazil,-8.813717,-36.954105,2010,Others
DENV2|JX669477|14905_BR-PE_10|Brazil_Pernambuco|2010,Pernambuco,Pernambuco,Brazil_Northeast,Brazil,-8.813717,-36.954105,2010,Others
DENV2|JX669476|13858_BR-PE_10|Brazil_Pernambuco|2010,Pernambuco,Pernambuco,Brazil_Northeast,Brazil,-8.813717,-36.954105,2010,Others
DENV2|JX669479|9479_BR-PE_10|Brazil_Pernambuco|2010,Pernambuco,Pernambuco,Brazil_Northeast,Brazil,-8.813717,-36.954105,2010,Others
DENV2|KP188549|BR_SJRP_327_2006|Brazil|2006-05-26,São José do Rio Preto,São Paulo,Brazil_Southeast,Brazil,-20.810869,-49.379131,2006,Others
DENV2|KP188550|BR_SJRP_350_2008|Brazil|2008-06-17,São José do Rio Preto,São Paulo,Brazil_Southeast,Brazil,-20.810869,-49.379131,2008,Others
DENV2|KP188551|BR_SJRP_567_2012|Brazil|2012-10-31,São José do Rio Preto,São Paulo,Brazil_Southeast,Brazil,-20.810869,-49.379131,2012,Others
DENV2|KP188552|BR_SJRP_572_2012|Brazil|2012-11-28,São José do Rio Preto,São Paulo,Brazil_Southeast,Brazil,-20.810869,-49.379131,2012,Others
DENV2|KP188555|BR_SJRP_846_2013|Brazil|2013-02-07,São José do Rio Preto,São Paulo,Brazil_Southeast,Brazil,-20.810869,-49.379131,2013,Others
DENV2|KP188554|BR_SJRP_779_2013|Brazil|2013-02-04,São José do Rio Preto,São Paulo,Brazil_Southeast,Brazil,-20.810869,-49.379131,2013,Others
DENV2|KP188556|BR_SJRP_869_2013|Brazil|2013-02-08,São José do Rio Preto,São Paulo,Brazil_Southeast,Brazil,-20.810869,-49.379131,2013,Others
DENV2|KP188553|BR_SJRP_615_2013|Brazil|2013-01-10,São José do Rio Preto,São Paulo,Brazil_Southeast,Brazil,-20.810869,-49.379131,2013,Others
DENV2|KP188569|BR_SJRP_2298_2014|Brazil|2014-04-03,São José do Rio Preto,São Paulo,Brazil_Southeast,Brazil,-20.810869,-49.379131,2014,Others
DENV2|HQ026763|BR0690_RJ_2008|Brazil|2008,Rio de Janeiro,Rio de Janeiro,Brazil_Southeast,Brazil,-22.906847,-43.172897,2008,Others
DENV2|JX567951|BR0337_2008_RJ_2008|Brazil_RJ|2008,Rio de Janeiro,Rio de Janeiro,Brazil_Southeast,Brazil,-22.906847,-43.172897,2008,Others
DENV2|JX567950|BR0450_2008_RJ_2008|Brazil_RJ|2008,Rio de Janeiro,Rio de Janeiro,Brazil_Southeast,Brazil,-22.906847,-43.172897,2008,Others
DENV2|GU131881|DENV-2_BR_BID-V3644_2008|Brazil_Sao_Paulo|2008,Santos,São Paulo,Brazil_Southeast,Brazil,-23.928814,-46.363509,2008,Others
DENV2|GQ868549|DENV-2_BR_BID-V3481_2008|Brazil_Sao_Paulo|2008,São Paulo,São Paulo,Brazil_Southeast,Brazil,-23.55052,-46.633308,2008,Others
DENV2|GQ868550|DENV-2_BR_BID-V3483_2008|Brazil_Sao_Paulo|2008,São Paulo,São Paulo,Brazil_Southeast,Brazil,-23.55052,-46.633308,2008,Others
DENV2|GU131879|DENV-2_BR_BID-V3638_2008|Brazil_Sao_Paulo|2008,São Paulo,São Paulo,Brazil_Southeast,Brazil,-23.55052,-46.633308,2008,Others
DENV2|GU131880|DENV-2_BR_BID-V3640_2008|Brazil_Sao_Paulo|2008,São Paulo,São Paulo,Brazil_Southeast,Brazil,-23.55052,-46.633308,2008,Others
